Density	GenerationsToStabilize
0,1	99
0,2	226
0,3	648
0,4	368
0,5	852



Generation	Density0.1	Density0.3	Density0.5
285			76	72	114
286			92	67	119
287			78	73	118
288			91	69	120
289			89	68	112
290			90	64	114
291			90	61	116
292			97	63	113
293			82	55	116
294			78	49	123
295			83	51	93
296			85	51	107
297			86	53	100
298			92	58	98
299			85	48	111
300			80	50	120
301			88	57	108
302			78	49	102
303			88	52	90
304			78	54	75
305			85	54	80
306			91	59	70
307			100	57	74
308			120	52	72
309			98	54	65
310			94	64	70
311			113	60	69
312			99	65	69
313			94	53	72
314			98	53	78
315			101	50	64
316			102	52	73
317			118	54	80
318			103	48	80
319			105	55	69
320			95	49	65
321			90	39	60
322			100	37	61
323			105	42	64
324			98	42	68
325			113	41	58
326			109	47	59
327			113	46	56
328			114	47	60
329			100	44	60
330			107	51	59
331			111	51	66
332			120	44	52
333			126	42	53
334			132	40	52
335			149	39	51
336			133	35	56
337			146	38	47
338			145	39	45
339			115	40	48
340			131	47	45
341			113	49	48
342			128	58	53
343			124	53	53
344			117	50	55
345			133	56	59
346			130	50	56
347			125	63	61
348			137	59	70
349			120	67	70
350			125	56	65
351			134	60	70
352			128	52	75
353			103	50	65
354			110	54	71
355			88	49	65
356			94	40	61
357			83	42	61
358			99	42	60
359			72	40	66
360			73	39	56
361			62	33	61
362			59	30	66
363			52	28	74
364			46	28	64
365			46	28	72
366			45	28	66
367			50	28	70
368			44	28	71
369			47		77
370			43		59
371			39		58
372			40		54
373			43		59
374			43		58
375			43		61
376			47		65
377			50		55
378			57		58
379			59		62
380			65		64
381			67		73
382			75		75
383			66		84
384			70		72
385			76		70
386			55		80
387			51		72
388			53		74
389			55		79
390			53		75
391			52		74
392			52		75
393			59		80
394			59		78
395			56		71
396			63		76
397			54		75
398			58		71
399			45		76
400			53		70
401			48		73
402			51		79
403			45		77
404			50		84
405			53		93
406			60		88
407			56		86
408			52		92
409			56		98
410			48		98
411			51		88
412			57		104
413			51		97
414			51		95
415			52		94
416			59		104
417			65		100
418			64		101
419			62		106
420			70		95
421			78		106
422			54		96
423			67		111
424			68		98
425			75		108
426			64		104
427			72		105
428			75		94
429			78		114
430			88		111
431			94		129
432			82		113
433			80		114
434			93		98
435			98		123
436			97		96
437			89		114
438			88		93
439			90		88
440			98		99
441			106		105
442			123		90
443			107		107
444			93		92
445			102		98
446			87		91
447			84		100
448			73		96
449			62		88
450			68		76
451			70		75
452			57		63
453			59		67
454			51		58
455			66		57
456			57		68
457			62		61
458			61		58
459			62		61
460			67		54
461			64		54
462			69		46
463			72		49
464			77		54
465			71		50
466			64		58
467			70		67
468			64		59
469			61		74
470			56		67
471			51		71
472			49		79
473			54		79
474			50		67
475			42		70
476			39		65
477			35		69
478			32		59
479			32		71
480			34		63
481			31		69
482			29		66
483			27		77
484			27		65
485			28		81
486			30		68
487			29		62
488			30		60
489			33		59
490			32		55
491			39		62
492			32		54
493			32		69
494			31		51
495			34		50
496			37		50
497			40		62
498			40		46
499			44		46
500			46		50
501			56		46
502			46		53
503			53		55
504			48		61
505			58		57
506			51		73
507			67		62
508			60		69
509			66		72
510			51		86
511			52		75
512			50		76
513			48		83
514			53		84
515			53		75
516			60		84
517			55		80
518			50		74
519			55		70
520			52		75
521			55		74
522			57		68
523			54		71
524			52		74
525			50		75
526			56		72
527			51		82
528			66		83
529			50		72
530			53		85
531			51		83
532			63		86
533			56		87
534			49		92
535			56		89
536			47		94
537			51		97
538			47		106
539			48		96
540			56		102
541			52		111
542			54		99
543			54		104
544			50		101
545			48		106
546			46		99
547			47		110
548			44		104
549			46		110
550			46		117
551			48		105
552			46		104
553			47		92
554			50		102
555			52		94
556			56		81
557			60		87
558			58		98
559			55		90
560			61		98
561			61		82
562			74		84
563			55		77
564			61		79
565			54		76
566			49		84
567			52		80
568			51		89
569			54		86
570			42		87
571			40		87
572			40		94
573			41		97
574			40		103
575			40		91
576			41		83
577			41		86
578			43		79
579			42		80
580			44		88
581			43		85
582			42		85
583			47		87
584			43		66
585			42		70
586			41		69
587			42		78
588			45		68
589			44		63
590			50		56
591			45		53
592			52		55
593			50		62
594			55		60
595			60		66
596			61		63
597			61		53
598			67		63
599			56		58
600			61		73
601			58		65
602			57		70
603			60		72
604			63		79
605			71		78
606			70		91
607			66		88
608			73		84
609			68		85
610			67		80
611			69		91
612			73		92
613			70		99
614			75		104
615			71		103
616			68		120
617			66		122
618			75		120
619			70		127
620			80		120
621			66		135
622			76		126
623			72		119
624			72		127
625			78		119
626			74		134
627			74		129
628			74		133
629			71		139
630			77		135
631			77		124
632			80		121
633			84		132
634			78		116
635			66		107
636			71		130
637			67		125
638			61		150
639			62		123
640			55		113
641			50		105
642			47		97
643			45		99
644			45		114
645			45		108
646			45		105
647			45		111
648			45		104
649					104
650					115
651					105
652					108
653					97
654					120
655					99
656					105
657					89
658					107
659					93
660					96
661					91
662					89
663					99
664					100
665					108
666					107
667					111
668					114
669					107
670					114
671					112
672					103
673					107
674					98
675					113
676					108
677					125
678					130
679					139
680					124
681					109
682					109
683					127
684					117
685					119
686					121
687					115
688					135
689					132
690					146
691					142
692					145
693					121
694					129
695					113
696					142
697					127
698					122
699					124
700					142
701					138
702					128
703					157
704					134
705					136
706					128
707					132
708					154
709					168
710					150
